,mean,std,min,max
FS_1T,-1.7122123893805312,1.6862637234079663,-5.0,4.8
PeakMTF_1S,68.58672566371682,2.5541408607021414,58.0,72.3
PeakMTF_6S,64.30761061946903,2.7017190726285265,53.6,68.6
PeakMTF_1T,70.19274336283186,3.0304893478721673,53.7,74.0
PeakMTF_6T,65.77433628318585,3.430039874286505,50.5,70.4
PeakMTF_5T,56.230973451327436,3.7995305711825336,34.9,61.7
PeakMTF_8S,61.59044247787612,3.848719136058558,45.1,67.1
PeakMTF_5S,65.70814159292037,3.9308252947245585,48.3,70.9
PeakMTF_9S,66.08938053097346,4.125976412095247,49.1,71.4
PeakMTF_4T,46.39469026548672,4.174624472599632,31.2,53.8
PeakMTF_3S,65.5787610619469,4.3805755015434045,46.1,71.3
PeakMTF_9T,63.389380530973455,4.416048320796103,50.7,70.3
PeakMTF_2S,63.62991150442477,4.747758802281019,47.1,69.9
PeakMTF_8T,63.24194690265486,5.217502571372825,36.5,69.2
PeakMTF_4S,59.12300884955752,5.329441324518154,40.8,68.2
PeakMTF_7S,64.09309734513275,5.450050926895581,42.4,71.7
PeakMTF_3T,50.23327433628319,5.637236012670525,32.9,59.3
PeakMTF_2T,58.54176991150444,6.076905799492172,33.4,66.4
PeakMTF_7T,61.604424778761064,7.205545901188663,39.6,70.7
FS_7T,7.003185840707965,9.468098196018273,-13.2,27.8
FS_6T,1.24353982300885,9.68444765872211,-18.6,23.0
FS_9T,5.135221238938052,10.103541010593247,-15.0,28.0
FS_8T,4.535221238938052,10.203954620092636,-16.8,25.8
FS_9S,-7.459823008849556,10.353813322792162,-29.4,15.2
FS_8S,-5.387610619469027,11.40911925870974,-28.6,15.8
FS_6S,-5.509026548672567,11.519475027177947,-26.8,15.8
FS_7S,-6.416991150442477,11.912934510911619,-30.2,16.8
FS_2T,15.052743362831857,12.771532245597342,-21.2,61.0
FS_4T,19.70371681415929,12.853564383721423,-12.2,58.6
FS_5T,17.73911504424779,13.76605352713401,-19.2,55.6
FS_4S,0.9985840707964603,14.282097040138407,-31.8,42.0
FS_5S,-3.1235398230088496,14.354245234137613,-38.2,31.6
FS_2S,-11.040000000000001,14.876294627492818,-47.2,24.4
FS_3T,15.6470796460177,15.44943179206102,-21.4,55.2
FS_3S,7.024778761061948,15.485786957411243,-31.0,42.8
D4S5S,4.12212389380531,19.828320487459788,-35.2,44.4
D2S5S,-7.9164601769911505,19.952246932618944,-48.6,34.0
D3S4S,6.026194690265487,21.64322623130889,-38.2,51.4
D7S9S,1.04283185840708,21.927968938175585,-43.8,42.8
D2S3S,-18.064778761061945,22.165713295927986,-65.2,23.8
D6S8S,-0.12141592920353972,22.829253305840474,-40.6,43.0
FS_1S,,,,
